RENOVACION COSTARRICENSE,98,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
REPUBLICANO SOCIAL CRISTIANO,1722,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
RESTAURACION NACIONAL,2561,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
UNIDAD SOCIAL CRISTIANA,3103,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
NULO,189,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
BLANCO,56,SAN JOSE,PURISCAL,33004.00,553.66,59.61,23.43,100.77,9787.00,3.36,64.49,2.19,95.27,7.90,30.40,69.74,31.97,12.45,2.20,13.06,10.37,28.23,6.95,15003,4765,196
ACCESIBILIDAD SIN EXCLUSION,31,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
ACCION CIUDADANA,2293,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
ALIANZA DEMOCRATA CRISTIANA,34,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
DE LOS TRABAJADORES,11,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
FRENTE AMPLIO,96,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
INTEGRACION NACIONAL,494,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
LIBERACION NACIONAL,1498,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
MOVIMIENTO LIBERTARIO,65,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
NUEVA GENERACION,60,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
